feature,mean_D,mean_p,reject_rate
V1,0.5116999999999999,0.00028098940837812346,1.0
V2,0.6602000000000006,1.212240799665114e-07,1.0
V3,0.7332000000000001,8.361358984713141e-09,1.0
V4,0.7871000000000001,3.094859846763317e-11,1.0
V5,0.47359999999999985,0.0005185253416895404,1.0
V6,0.5115999999999999,0.00016587947133593715,1.0
V7,0.6830000000000003,5.0431225469748146e-08,1.0
V8,0.40830000000000005,0.008599115862564769,0.96
V9,0.6106000000000004,3.2250686360139484e-05,1.0
V10,0.8210000000000002,4.069590617926469e-12,1.0
V11,0.7696000000000001,6.832931761240857e-11,1.0
V12,0.8018000000000004,5.095871355633801e-12,1.0
V13,0.18599999999999994,0.4332457424994244,0.07
V14,0.8628000000000005,2.6477796113882488e-14,1.0
V15,0.1664,0.5446452170721987,0.025
V16,0.7145000000000007,1.0305358369682117e-08,1.0
V17,0.7506999999999997,2.0862202824275392e-10,1.0
V18,0.5249,0.00010879792158602065,1.0
V19,0.38909999999999995,0.011952963894506265,0.945
V20,0.3917000000000002,0.019533952201232642,0.9
V21,0.5493000000000002,0.00014268768903974915,1.0
V22,0.16780000000000006,0.5417844146484896,0.065
V23,0.2568,0.1438448391344641,0.405
V24,0.20999999999999985,0.3397834868006986,0.205
V25,0.18719999999999992,0.424984522309991,0.08
V26,0.17649999999999996,0.4901478199824978,0.06
V27,0.49720000000000014,0.0006993624385342991,1.0
V28,0.4119000000000001,0.0046606313869048165,0.975
Amount,0.2924000000000001,0.07623784879324852,0.575
